source_tag,frame_id,raw_ser,status,reason,iterations,exact_correct
type2_1p5M_20260121_183806,2422,0.26171875,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2423,0.26171875,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2424,0.24609375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2425,0.265625,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2426,0.23828125,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,2427,0.23828125,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,2428,0.2265625,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2429,0.25390625,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2430,0.25,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2431,0.234375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2432,0.1796875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2433,0.25390625,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2434,0.24609375,decode_failed,iteration_limit,100,False
type2_1p5M_20260121_183806,2435,0.30078125,syndrome_consistent,exact_correct,8,True
type2_1p5M_20260121_183806,2436,0.25,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,2437,0.26953125,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2438,0.25390625,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,2439,0.26171875,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2440,0.2578125,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2441,0.2421875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2442,0.2890625,syndrome_consistent,exact_correct,7,True
type2_1p5M_20260121_183806,2443,0.2421875,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2444,0.2578125,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2445,0.24609375,syndrome_consistent,exact_correct,8,True
type2_1p5M_20260121_183806,2446,0.21875,syndrome_consistent,exact_correct,3,True
type2_1p5M_20260121_183806,2447,0.27734375,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2448,0.21484375,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2449,0.265625,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2450,0.265625,syndrome_consistent,exact_correct,9,True
type2_1p5M_20260121_183806,2451,0.30859375,syndrome_consistent,exact_correct,6,True
type2_1p5M_20260121_183806,2452,0.26953125,syndrome_consistent,exact_correct,4,True
type2_1p5M_20260121_183806,2453,0.2421875,syndrome_consistent,exact_correct,5,True
type2_1p5M_20260121_183806,2454,0.23828125,syndrome_consistent,exact_correct,3,True
type2_1p5M_20260121_183806,2455,0.2890625,syndrome_consistent,exact_correct,9,True
type2_1p5M_20260121_183806,2456,0.2734375,syndrome_consistent,exact_correct,4,True
