dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,244.0,72,2.075600001262501,3,70,140,72,32,0,18,18,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,240.0,64,6.226700003026053,3,72,144,64,32,0,15,15,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,234.0,62,8.18150001578033,3,70,140,62,32,0,15,15,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,239.0,65,6.869499979075044,3,71,142,65,32,0,14,14,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,472.0,64,2.0988000032957643,3,188,376,64,32,0,18,18,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,460.0,52,5.497000005561858,3,188,376,52,32,0,15,15,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,464.0,56,12.997700017876923,3,188,376,56,32,0,15,15,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,455.0,47,11.522900022100657,3,188,376,47,32,0,14,14,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,254.0,72,2.139699994586408,4,75,150,72,32,0,18,18,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,250.0,64,5.664299998898059,4,77,154,64,32,0,15,15,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,244.0,62,16.904499992961064,4,75,150,62,32,0,15,15,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,249.0,65,25.48969999770634,4,76,152,65,32,0,14,14,"16,32,64,128",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,646.0,54,8.817499998258427,3,280,560,54,32,0,18,18,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,633.0,41,11.128499987535179,3,280,560,41,32,0,15,15,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,635.0,43,8.497600007103756,3,280,560,43,32,0,15,15,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,630.0,38,30.679899995448068,3,280,560,38,32,0,14,14,"8,4,16,13",3,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,1cdb1b55b06d0718
real_typeii_20db_d16_bw100_blk0,cascade_lite,0,True,False,0.265625,0.09765625,0.109375,0.0390625,160.0,68,5.7542999857105315,3,30,60,68,32,0,15,15,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,cascade_lite,1,True,False,0.140625,0.0546875,0.03125,0.0078125,142.0,54,10.362800006987527,3,28,56,54,32,0,12,12,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,cascade_lite,2,True,True,0.171875,0.04296875,0.0,0.0,140.0,50,2.4605999933555722,3,29,58,50,32,0,11,11,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,cascade_lite,3,True,True,0.21875,0.0625,0.0,0.0,162.0,70,3.588899999158457,3,30,60,70,32,0,16,16,"16,32,64,128",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,cascade_lite,0,True,True,0.265625,0.09765625,0.0,0.0,269.0,83,1.0049999982584268,3,77,154,83,32,0,25,25,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d16_bw100_blk0,cascade_lite,1,True,True,0.140625,0.0546875,0.0,0.0,228.0,44,0.6448999920394272,3,76,152,44,32,0,14,14,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d16_bw100_blk0,cascade_lite,2,True,True,0.171875,0.04296875,0.0,0.0,220.0,36,2.984399994602427,3,76,152,36,32,0,11,11,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d16_bw100_blk0,cascade_lite,3,True,True,0.21875,0.0625,0.0,0.0,234.0,50,0.6911999953445047,3,76,152,50,32,0,16,16,"12,6,24,13",3,leakage_accounting=exact_internal_transcript,16,100,real_data,4,seeded_random,0,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,746.0,54,9.679500013589859,4,330,660,54,32,0,18,18,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,733.0,41,5.132999998750165,4,330,660,41,32,0,15,15,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,735.0,43,24.509000009857118,4,330,660,43,32,0,15,15,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,730.0,38,32.63780000270344,4,330,660,38,32,0,14,14,"8,4,16,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,572.0,64,6.697799981338903,4,238,476,64,32,0,18,18,"12,6,24,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7ee822c7f60512c0
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,560.0,52,9.172299993224442,4,238,476,52,32,0,15,15,"12,6,24,13",4,leakage_accounting=exact_internal_transcript,1024,100,real_data,4,seeded_random,0,7ee822c7f60512c0
