priority,item,missing_reason,minimal_new_measurement,required_sample_or_proof,acceptance_criterion,depends_on
1,composable theorem and assumptions,no theorem_id/assumptions/domain declared,"declare theorem_id (Renner/Niu/Tomamichel/Lim) + assumptions {collective/coherent, PE model, finite-key, auth, EV} + domain + source file:line:expr, visibility_dependence/decoy_dependence bool",theorem binding proof + assumption validation,theorem_id with file:line:expr and visibility/decoy dependence declared,none
2,"phase-error / conjugate (e_ph, conjugate_basis_stats)",conjugate_basis_stats missing; per_point_franson_pe_chain missing; e_ph missing,"conjugate-basis measurement (X/Z counts, decoy if applicable) + e_ph estimation with confidence interval",n_PE coherent with e_ph; conjugate stats file:line:expr,"e_ph in [0,1] with interval and theorem linkage",theorem_id
3,n_PE and sampling rule,n_PE authoritative missing; only n_eff shadow proxy,PE acquisition n_PE authoritative count + p_Z/p_X + random_without_replacement + seed_or_counter + PE frame marking,n_PE file:line with provenance; sampling_rule documented,n_PE integer with PE model binding,e_ph/conjugate
4,visibility per-source interval [conditional],global vis=0.95 shadow only; no per-point interval,"per-point/per-loss vis interval [vis_low,vis_high] with cal_chain per source 1M/1p5M/2M (only if theorem visibility_dependence=true)",vis interval with source chain file:line:expr or not_applicable_with_theorem_reason,"vis interval with composable chi_E linkage when applicable, else N/A with theorem line",theorem_id
5,decoy_chain [conditional],decoy_state_PE missing,decoy intensities/stats chain (only if theorem decoy_dependence=true),decoy stats or N/A with theorem line,decoy ready when applicable else N/A,theorem_id
6,eps_sec / eps_cor allocation,shadow calibrated 1e-10 not protocol-authoritative,protocol-fixed eps_sec/eps_cor + decomposition eps_PE+eps_PA+eps_EC <= eps_sec etc.,eps values with DeltaFK formula binding,eps decomposition consistent; epsilon probabilities not bits,theorem_id
7,verification/auth leakage (R61-02),actual_verification_bits not recorded; leak_auth missing,verification transcript actual_verification_bits + leak_auth bits/block; tag64 already in leak_IR,"transcript file:line; leak_verification_extra=max(0,actual-64)","leak_other = max(0,actual-64)+auth; epsilon_EC stays probability",theorem_id
8,finite-size correction,DeltaFK shadow calibrated only; n_eff not authoritative,n_eff actual count + DeltaFK composable coefficient authority + unit bits/pair->bits/block,finite-key theorem constants with n_eff,DeltaFK bits/pair with eps binding; epsilon not bits,n_PE
9,post-selection / effective frames,accepted_frame_fraction shadow surrogate only,rigorous accepted/rejected frame accounting + n_block mapping + post_sel penalty,post_sel file:line with composable correction,post_sel with finite-key linkage,n_PE
10,unit / timestamp / session / source binding,unit table shadow inferred only,authoritative unit_map + per-block session_id/source_id/delay_used_ps/block_id/pairing=legacy_v1 nearest 200ps,unit table file:line; session/source/timestamp binding,unit_table with conversion proof; no tag double-count,none
11,acceptance formula inputs,hmin_lower composable null; leak_other/finite not authoritative,hmin_lower bits/symbol composable lower-bound + leak_other/finite bits/block + ell formula,"hmin_lower file:line:expr with theorem; leak_other=max(0,actual-64)+...",only READY (core+conditional) computes ell=1024*hmin - leak_IR - leak_other - finite else null,theorem_id
