frame_id,pair_idx,alice_symbol,bob_symbol,dimension,frame_len_symbols
0,0,1,1,16,2048
0,1,12,12,16,2048
0,2,10,10,16,2048
0,3,7,7,16,2048
0,4,6,6,16,2048
0,5,13,13,16,2048
0,6,1,1,16,2048
0,7,11,11,16,2048
0,8,3,3,16,2048
0,9,1,1,16,2048
0,10,8,8,16,2048
0,11,15,15,16,2048
0,12,11,11,16,2048
0,13,12,12,16,2048
0,14,11,11,16,2048
0,15,12,12,16,2048
0,16,8,8,16,2048
0,17,2,2,16,2048
0,18,13,13,16,2048
0,19,7,7,16,2048
0,20,8,8,16,2048
0,21,5,5,16,2048
0,22,2,2,16,2048
0,23,14,14,16,2048
0,24,12,12,16,2048
0,25,10,10,16,2048
0,26,6,6,16,2048
0,27,13,13,16,2048
0,28,8,8,16,2048
0,29,7,7,16,2048
0,30,7,7,16,2048
0,31,3,3,16,2048
0,32,1,1,16,2048
0,33,8,8,16,2048
0,34,14,14,16,2048
0,35,1,1,16,2048
0,36,13,13,16,2048
0,37,13,13,16,2048
0,38,4,4,16,2048
0,39,10,12,16,2048
0,40,2,2,16,2048
0,41,12,12,16,2048
0,42,11,11,16,2048
0,43,5,5,16,2048
0,44,1,1,16,2048
0,45,15,15,16,2048
0,46,7,7,16,2048
0,47,14,14,16,2048
0,48,10,10,16,2048
0,49,12,12,16,2048
0,50,12,12,16,2048
0,51,3,3,16,2048
0,52,5,5,16,2048
0,53,7,7,16,2048
0,54,7,7,16,2048
0,55,0,0,16,2048
0,56,8,8,16,2048
0,57,2,2,16,2048
0,58,11,11,16,2048
0,59,10,9,16,2048
0,60,14,14,16,2048
0,61,11,11,16,2048
0,62,5,5,16,2048
0,63,15,15,16,2048
0,64,6,6,16,2048
0,65,5,5,16,2048
0,66,14,14,16,2048
0,67,5,5,16,2048
0,68,1,1,16,2048
0,69,7,7,16,2048
0,70,12,7,16,2048
0,71,3,3,16,2048
0,72,7,7,16,2048
0,73,2,2,16,2048
0,74,10,10,16,2048
0,75,7,7,16,2048
