array_sha256,denominator_included,extension_used,final_prefix,frame_id,initial_prefix,key_dependent_disclosure_bits_total,outcome_epsilon_ec,policy_id,policy_sha256,protocol_epsilon_ec_bound,public_control_bits_total,qualification_role,stage1_iterations,stage2_iterations,stage3_iterations,status,stratum_p,transcript_event_count,transcript_sha256,verification_attempts
e021f1d354563895a53eac324f40b0e5a3f8c9f029bf08b058a523afe178ad37,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_000,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,47fa58d64286e3d930dffa9384e0b262b2160cb49b6249f1ff2fa8ced233e0d0,1
4121880fdc851a590d60ee94389b9b5f0866f67109c75fcac9aa27539511f633,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_001,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,146e6c46c533aea2d7b13553dae70cccbffc402fb6d30027db7bcbbec3cc8129,1
a56abaf97308eaa6b42679621fb645f69ac75ec0eafc189e31deaae9c8d099d5,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_002,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,047098fb12a76f260422bb0c650f3550e08096e18e9be6b10ba5bc9d965526ec,1
269c7d7fe04dbc4c9b3535fd9b4806cd83776824da8f049beaa35c4307330acb,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_003,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,4,0,0,verified_success,0.2,4,1f9788f82d705df73935ddce9fd6f8a7c14fab6958a4dc155a943e99ca6d233b,1
ad2cb16b7c14de9810ef057b5cdc48b2302a2b18aaa745f568e6b3bd47f5f659,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_004,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,c9de74b0bf921bd2e491430a3d9a61a9acae2f5289c5cb1d9b5c59ecee0da6e2,1
69723f7aa26444c74c051b1a9a75de0b6212f1529c4e97bb97d72e6192f01bed,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_005,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,27f1dca454847818822efc4cce709b10ea5b04618ea5a17e82ab83415905f9a0,1
718af059ce8952eb64fd98ea5f4b03392e304940611230da3f2d696f877e7e5a,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_006,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,7014e3aa2414c6ca3106ebf92be6e7b62eadf185d8afdc2196c7935144f61e6d,1
9bb83db951a01ecdb35c0446d97df552a586606b84d12e5b07efaa2fc89592a4,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_007,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,2140c27f7efe9b3425c3252a5d5a1b01b9841c756d720ce3cc1f307709d1296e,1
08eabd74c380c7f818fc7b4c685dc3a93f69c7e7610817337d32c9fad8608a3c,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_008,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,0bf108ec2bdf02bc600de0d27623a2882f440f31bda9d4f19f00b2e044af9283,1
b9dfec728c6318c98ebbd57c4b276d9c36bd9cfc087118e24fc932d8df75f9e0,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_009,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,dcaaa12b733de86830af845f81afdaa5fce04d3659958fcd0991ada029e0d71c,1
efe6a4c71fecbc20ac492c61bf93172ff3b0e3b11ebcdac555179addd3fdbeb5,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_010,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,b8f1be4294efa677aee110c82cf1064a2b21857db12b2764782d6019c514e4cf,1
019d289a6b51ec4ecfed34ba05c73c0af6e74b7436e26e2d437e5c09a8c62fab,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_011,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,8e2756d30a54323dd74cd58a6adf8ed49a110be73a5c952c6be6b2647406e625,1
c31ad5d2cb92e228ba047f6b367555de4705715f24250e647c5dbb30c7536b77,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_012,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,5,0,0,verified_success,0.2,4,f51edbbca96687e35c8f155b3af402144fc5a20fbc8bbc9e92b74a42facde578,1
0fab5a36f1fb927f5cc7bfb25c3973be15dfa5ac0443bc2b55eb304aa449b19c,True,False,32,nbldpc_formal_v5b_mother_q1024_p20_development_013,32,384,5.421010862427522e-20,nbldpc_v5b_ir56,a49f4073bb9cc4598a1130a645c08942052ce2f74aba1da90043106ba96173c6,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,70a28c9fab57785a4517793718635f5b6a4888edc1150ebd4dadcf853eb2b084,1
